Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Bull shark,0.063084222,78.6,0.091357603,77.98462468,1.11,0.610316823,0.058850046,0.032507556,-0.288344808,0.008298244,0.073411083,-0.98350718,1.407554952,0.011741073
Bull shark,0.101421427,78.55,0.146805645,77.92751147,1.11,0.632795662,0.09424544,0.052560205,-0.283948449,0.012336057,0.11582887,-1.017319014,1.395984352,0.018182518
Bull shark,0.096503504,78.56,0.139076066,77.98165636,1.11,0.631947893,0.088693563,0.050382503,-0.275468391,0.011716178,0.110153889,0.689367225,1.395367413,0.017273863
Bull shark,0.083728586,78.51,0.136721457,77.81939689,1.21,0.653460122,0.090919911,0.045801545,-0.330002087,0.011239922,0.096287607,1.881194305,1.430151232,0.015753588
Bull shark,0.07505776,78.48,0.12274365,77.77310552,1.2,0.649810298,0.082056734,0.040686916,-0.337042432,0.010108231,0.086246442,3.054586797,1.437732963,0.01405426
Bull shark,0.060604691,78.46,0.104176801,77.68974719,1.26,0.631197624,0.070747165,0.033429636,-0.358213433,0.009544214,0.072322819,0.445504165,1.427952911,0.012431277
Bull shark,0.066753657,78.54,0.116669857,77.78031717,1.27,0.644172482,0.079615459,0.037054398,-0.364799113,0.010209753,0.078729428,-0.181076812,1.438600383,0.013489884
Bull shark,0.068438775,78.5,0.116297247,77.69434989,1.22,0.633114152,0.07926502,0.037032227,-0.363145257,0.009984957,0.080187572,0.340342747,1.4977324,0.013479153
Bull shark,0.072468524,78.5,0.116347856,77.83902409,1.21,0.62848015,0.077429838,0.038918018,-0.331005845,0.010267446,0.084948778,1.349042709,1.407792922,0.014155146
Bull shark,0.1012369,78.24,0.15408019,77.59220016,1.14,0.659094237,0.099431175,0.054649015,-0.290641904,0.012701689,0.115332774,1.656524945,1.423492867,0.018238607
Bull shark,0.098529364,78.23,0.148263174,77.59691322,1.14,0.651714062,0.095308543,0.052954631,-0.28566711,0.012234558,0.112451985,-0.590092048,1.409764162,0.017845682
Bull shark,0.098045162,78.16,0.14210015,77.50599662,1.11,0.628147226,0.091303078,0.050797073,-0.285052515,0.011715996,0.111842096,-1.369985837,1.404428979,0.017580018
Bull shark,0.094992327,78.19,0.137764571,77.56077269,1.11,0.630487566,0.088051451,0.04971312,-0.278288757,0.011399195,0.108443667,0.182252404,1.401245948,0.017076897
Bull shark,0.091348674,78.23,0.141614718,77.36471199,1.09,0.623097874,0.094226838,0.04738788,-0.330749221,0.011685067,0.104721865,0.912399967,1.528830321,0.016582214
Bull shark,0.107382333,78.3,0.155670486,77.67868245,1.11,0.636611354,0.098991744,0.056678742,-0.271811332,0.012713738,0.121934948,0.338949881,1.403034611,0.019037139
Bull shark,0.086695677,78.3,0.133251824,77.67061806,1.16,0.648897468,0.086742441,0.046509383,-0.301932509,0.01126764,0.099804775,-0.19737335,1.410261289,0.016070757
Bull shark,0.091226404,78.36,0.144118978,77.63506108,1.15,0.638816893,0.09571022,0.048408757,-0.328211203,0.012381044,0.105775928,0.811138575,1.458190518,0.017161992
Bull shark,0.086513533,78.25,0.12989146,77.62939564,1.13,0.629896349,0.08409409,0.04579737,-0.29483632,0.010895065,0.099418355,0.922651464,1.414242744,0.015913465
Bull shark,0.082803093,78.21,0.12489382,77.55846933,1.13,0.627638392,0.081054273,0.043839546,-0.297970926,0.010517388,0.095371889,0.833278187,1.42650005,0.015300829
Bull shark,0.050462003,78.37,0.094870875,77.30942958,1.22,0.613414672,0.067946199,0.026924676,-0.432393214,0.008679815,0.060984342,1.659756395,1.633405435,0.010699293
